Hotel;Horário 1;Horário 2;Horário 3
Hotel Barceló Bávaro Palace;07:20;08:10;
Hard Rock Hotel & Casino;06:50;07:30;08:00
Dreams Royal Beach;07:00;07:45;
Iberostar Grand Bávaro;07:10;08:00;
Secrets Royal Beach;07:15;;
Lopesan Costa Bávaro;06:45;07:30;
Meliá Caribe Beach;07:05;07:50;
RIU Republica;06:55;07:40;08:15
Paradisus Palma Real;07:45;08:30;
Breathless Punta Cana;08:10;;
Grand Palladium;07:20;08:00;
Now Onyx;07:50;08:20;
Sanctuary Cap Cana;08:30;09:15;
Hyatt Zilara Cap Cana;08:45;;
Dreams Macao Beach;09:00;09:45;
Majestic Elegance;08:50;09:20;
